Case Number,Product Info,Case Owner,VENDOR,Case Origin,Customer Request,Type Leve 1,Type Level 2,Type Level 3,Cloesed Date,1-CR,2-CSAT,3-DSAT Reason,4-Satisfaction Driver,5-Open Suggestion,Work Order,SN,Service Center,Service Type,month,week,dayweek
CASE001000,,Agent_035,TP,Phone,Business,General,Software,Error,2024-09-20,,,,,,,,,,septiembre,38,Friday
CASE001001,,Agent_015,NOT TP,Email,Individual,Billing,Hardware,Configuration,2024-07-15,,,,,,,,,,julio,29,Monday
CASE001002,Product C,Agent_009,NOT TP,Chat,Individual,Technical,Software,Installation,2024-07-04,,,,,,,,,,julio,27,Thursday
CASE001003,,Agent_048,NOT TP,Email,Business,General,Software,Configuration,2024-08-05,,,,,,WO7627,,,,agosto,32,Monday
CASE001004,,Agent_026,TP,Web,Individual,Technical,Account,Question,2024-08-01,,,,,,,,,Express,agosto,31,Thursday
CASE001005,,Agent_035,TP,Phone,Individual,Technical,Software,Installation,2024-07-29,,,,,,WO2380,,,,julio,31,Monday
CASE001006,Product B,Agent_019,TP,Email,Individual,Technical,Hardware,Question,2024-07-18,,,,,,,,,Premium,julio,29,Thursday
CASE001007,,Agent_041,NOT TP,Chat,Individual,Billing,Account,Error,2024-07-14,,,,,,,,,,julio,28,Sunday
CASE001008,Product A,Agent_010,NOT TP,Email,Individual,Technical,Hardware,Error,2024-09-25,,,,,,,,,,septiembre,39,Wednesday
CASE001009,Product A,Agent_020,NOT TP,Email,Individual,General,Software,Question,2024-09-08,,,,,,,,,,septiembre,36,Sunday
CASE001010,,Agent_044,TP,Web,Individual,General,Software,Error,2024-07-12,,,,,,,,,,julio,28,Friday
CASE001011,,Agent_047,NOT TP,Phone,Business,General,Other,Question,2024-09-14,,,,,,WO5651,,,,septiembre,37,Saturday
CASE001012,Product B,Agent_042,NOT TP,Phone,Individual,Technical,Account,Question,2024-08-24,No,,,,,,,,,agosto,34,Saturday
CASE001013,Product B,Agent_024,TP,Email,Business,General,Account,Question,2024-07-05,,,,,,,,,,julio,27,Friday
CASE001014,,Agent_001,TP,Email,Individual,General,Other,Error,2024-07-04,,,,,,,,,,julio,27,Thursday
CASE001015,,Agent_036,TP,Web,Individual,General,Hardware,Error,2024-07-12,,,,,,,,,,julio,28,Friday
CASE001016,Product B,Agent_036,TP,Email,Individual,General,Hardware,Error,2024-07-28,,Very satisfied,,,,,,,,julio,30,Sunday
CASE001017,Product C,Agent_010,NOT TP,Web,Individual,Billing,Software,Question,2024-07-30,,,,,,,,,,julio,31,Tuesday
CASE001018,,Agent_008,NOT TP,Phone,Individual,Technical,Account,Configuration,2024-09-03,,,,,,WO9846,,Center A,,septiembre,36,Tuesday
CASE001019,Product A,Agent_003,TP,Phone,Individual,Technical,Software,Error,2024-09-16,,,,,,,,,Premium,septiembre,38,Monday
CASE001020,,Agent_001,NOT TP,Web,Business,General,Other,Configuration,2024-07-04,,,,,,,,,,julio,27,Thursday
CASE001021,,Agent_037,TP,Email,Individual,Technical,Software,Error,2024-09-10,,,,,,,,,Standard,septiembre,37,Tuesday
CASE001022,,Agent_039,TP,Phone,Individual,General,Hardware,Installation,2024-07-26,,,,,,,,,,julio,30,Friday
CASE001023,Product B,Agent_026,TP,Chat,Business,General,Hardware,Installation,2024-09-30,,,,,,WO2809,,,Express,septiembre,40,Monday
CASE001024,Product A,Agent_035,NOT TP,Web,Individual,General,Other,Installation,2024-09-22,,,,,,,,,,septiembre,38,Sunday
CASE001025,Product C,Agent_036,NOT TP,Phone,Individual,Technical,Hardware,Configuration,2024-09-28,,,,,,WO5255,,,,septiembre,39,Saturday
CASE001026,Product B,Agent_006,TP,Phone,Business,Billing,Other,Error,2024-09-08,,,,,,,,,,septiembre,36,Sunday
CASE001027,Product C,Agent_020,NOT TP,Phone,Individual,Technical,Account,Question,2024-08-23,,,,,,,,,Standard,agosto,34,Friday
CASE001028,,Agent_014,NOT TP,Chat,Individual,Technical,Other,Configuration,2024-07-29,,,,,,,,,,julio,31,Monday
CASE001029,,Agent_048,TP,Chat,Individual,Billing,Other,Error,2024-08-27,,,,,,,,,,agosto,35,Tuesday
CASE001030,Product C,Agent_048,NOT TP,Chat,Individual,Technical,Other,Installation,2024-09-14,,,,,,,,,,septiembre,37,Saturday
CASE001031,Product B,Agent_047,TP,Email,Individual,Billing,Hardware,Configuration,2024-08-05,,,,,,,,,,agosto,32,Monday
CASE001032,Product C,Agent_023,TP,Web,Individual,General,Account,Error,2024-07-01,,,,,,,,,,julio,27,Monday
CASE001033,,Agent_014,NOT TP,Email,Business,Billing,Software,Question,2024-07-21,,,,,,,,,,julio,29,Sunday
CASE001034,,Agent_027,NOT TP,Chat,Business,General,Account,Configuration,2024-09-28,,,,,,WO9737,,,,septiembre,39,Saturday
CASE001035,Product B,Agent_042,NOT TP,Web,Individual,Billing,Hardware,Question,2024-08-24,,,,,,WO4831,,,,agosto,34,Saturday
CASE001036,,Agent_033,TP,Email,Individual,General,Account,Configuration,2024-08-13,,,,,,,,,,agosto,33,Tuesday
CASE001037,Product A,Agent_010,TP,Email,Business,Technical,Account,Installation,2024-08-05,,,,,,,,,,agosto,32,Monday
